param_name,tasknum,model_path,pp_size,world_size,global_bsz,micro_bsz,grad_acc_steps,seqlen,rank,max_steps,num_samples,peak_memory_mb,throughput_per_gpu_tok_s,total_throughput_tok_s,tokens_per_step,time_per_step_s,status
Llama-2-13b-hf,113,Llama-2-13b-hf,1,1,8,1,8,512,16,50,4000,25595.06,1192.92,1192.92,4096,3.4335915233209264,OK
Llama-2-13b-hf,114,Llama-2-13b-hf,2,2,8,1,8,512,16,50,4000,12972.66,1039.29,2078.58,4096,1.970576066352991,OK
Llama-2-13b-hf,115,Llama-2-13b-hf,1,1,16,1,16,512,16,50,4000,25595.07,1163.47,1163.47,8192,7.041006643918623,OK
Llama-2-13b-hf,116,Llama-2-13b-hf,2,2,16,1,16,512,16,50,4000,13212.99,1076.36,2152.72,8192,3.8054182615481813,OK
Llama-2-13b-hf,117,Llama-2-13b-hf,1,1,8,2,4,512,16,50,4000,25989.94,1231.79,1231.79,4096,3.325242127310662,OK
Llama-2-13b-hf,118,Llama-2-13b-hf,2,2,8,2,4,512,16,50,4000,13335.74,1416.59,2833.18,4096,1.4457252980749546,OK
Llama-2-13b-hf,119,Llama-2-13b-hf,1,1,16,2,8,512,16,50,4000,25989.94,1285.16,1285.16,8192,6.374303588658221,OK
Llama-2-13b-hf,120,Llama-2-13b-hf,2,2,16,2,8,512,16,50,4000,13335.74,1353.19,2706.38,8192,3.0269215705111625,OK
Llama-2-13b-hf,121,Llama-2-13b-hf,1,1,8,4,2,512,16,50,4000,26772.45,1231.04,1231.04,4096,3.3272680010397715,OK
Llama-2-13b-hf,122,Llama-2-13b-hf,2,2,8,4,2,512,16,50,4000,13899.87,1302.26,2604.52,4096,1.5726506227635035,OK
Llama-2-13b-hf,123,Llama-2-13b-hf,1,1,16,4,4,512,16,50,4000,26772.45,1312.83,1312.83,8192,6.23995490657587,OK
Llama-2-13b-hf,124,Llama-2-13b-hf,2,2,16,4,4,512,16,50,4000,14059.88,1439.51,2879.02,8192,2.845412675146404,OK
Llama-2-13b-hf,125,Llama-2-13b-hf,1,1,8,8,1,512,16,50,4000,28343.48,1292.01,1292.01,4096,3.170254100200463,OK
Llama-2-13b-hf,126,Llama-2-13b-hf,2,2,8,8,1,512,16,50,4000,14658.41,981.55,1963.1,4096,2.086495848403036,OK
Llama-2-13b-hf,127,Llama-2-13b-hf,1,1,16,8,2,512,16,50,4000,28343.48,1399.78,1399.78,8192,5.852348226149823,OK
Llama-2-13b-hf,128,Llama-2-13b-hf,2,2,16,8,2,512,16,50,4000,15190.90,1307.84,2615.68,8192,3.131881575727918,OK
Llama-2-13b-hf,129,Llama-2-13b-hf,1,1,8,1,8,1024,16,50,4000,25989.94,1211.58,1211.58,8192,6.7614189735717005,OK
Llama-2-13b-hf,130,Llama-2-13b-hf,2,2,8,1,8,1024,16,50,4000,13497.36,1356.40,2712.8,8192,3.0197581834267178,OK
Llama-2-13b-hf,131,Llama-2-13b-hf,1,1,16,1,16,1024,16,50,4000,25989.95,1184.59,1184.59,16384,13.83094572805781,OK
Llama-2-13b-hf,132,Llama-2-13b-hf,2,2,16,1,16,1024,16,50,4000,13817.37,1159.55,2319.1,16384,7.064809624423268,OK
Llama-2-13b-hf,133,Llama-2-13b-hf,1,1,8,2,4,1024,16,50,4000,26772.45,1177.33,1177.33,8192,6.958117095461765,OK
Llama-2-13b-hf,134,Llama-2-13b-hf,2,2,8,2,4,1024,16,50,4000,14059.88,1319.97,2639.94,8192,3.103100828049122,OK
Llama-2-13b-hf,135,Llama-2-13b-hf,1,1,16,2,8,1024,16,50,4000,26772.46,1184.93,1184.93,16384,13.826977121011367,OK
Llama-2-13b-hf,136,Llama-2-13b-hf,2,2,16,2,8,1024,16,50,4000,14379.88,1233.37,2466.74,16384,6.641964698346807,OK
Llama-2-13b-hf,137,Llama-2-13b-hf,1,1,8,4,2,1024,16,50,4000,28343.48,1214.96,1214.96,8192,6.7426088101665895,OK
Llama-2-13b-hf,138,Llama-2-13b-hf,2,2,8,4,2,1024,16,50,4000,15190.90,1244.62,2489.24,8192,3.290964310391927,OK
Llama-2-13b-hf,139,Llama-2-13b-hf,1,1,16,4,4,1024,16,50,4000,28343.48,1238.51,1238.51,16384,13.228799121525059,OK
Llama-2-13b-hf,140,Llama-2-13b-hf,2,2,16,4,4,1024,16,50,4000,15500.46,1219.25,2438.5,16384,6.718884560180439,OK
Llama-2-13b-hf,141,Llama-2-13b-hf,1,1,8,8,1,1024,16,50,4000,31485.54,1204.36,1204.36,8192,6.801952904447176,OK
Llama-2-13b-hf,142,Llama-2-13b-hf,2,2,8,8,1,1024,16,50,4000,17452.97,973.14,1946.28,8192,4.209055223297779,OK
Llama-2-13b-hf,143,Llama-2-13b-hf,1,1,16,8,2,1024,16,50,4000,31485.54,1198.85,1198.85,16384,13.666430329065355,OK
Llama-2-13b-hf,144,Llama-2-13b-hf,2,2,16,8,2,1024,16,50,4000,17772.97,1118.83,2237.66,16384,7.321934520883423,OK
Llama-2-13b-hf,145,Llama-2-13b-hf,1,1,8,1,8,2048,16,50,4000,26772.46,1199.62,1199.62,16384,13.65765825844851,OK
Llama-2-13b-hf,146,Llama-2-13b-hf,2,2,8,1,8,2048,16,50,4000,14379.88,1157.49,2314.98,16384,7.07738295795212,OK
Llama-2-13b-hf,147,Llama-2-13b-hf,1,1,16,1,16,2048,16,50,4000,26772.46,1204.75,1204.75,32768,27.19900394272671,OK
Llama-2-13b-hf,148,Llama-2-13b-hf,2,2,16,1,16,2048,16,50,4000,15019.89,1107.23,2214.46,32768,14.797286923222817,OK
Qwen2.5-32B-Instruct,1,Qwen2.5-32B-Instruct,3,3,8,1,8,32,16,50,4000,20680.81,23.48,70.44,256,3.634298693923907,OK
Qwen2.5-32B-Instruct,2,Qwen2.5-32B-Instruct,3,3,8,2,4,32,16,50,4000,20708.26,44.15,132.45,256,1.93280483201208,OK
Qwen2.5-32B-Instruct,3,Qwen2.5-32B-Instruct,3,3,8,4,2,32,16,50,4000,20520.12,46.11,138.32999999999998,256,1.8506470035422542,OK
Qwen2.5-32B-Instruct,4,Qwen2.5-32B-Instruct,3,3,8,8,1,32,16,50,4000,20766.93,83.11,249.32999999999998,256,1.0267516945413708,OK
Qwen2.5-32B-Instruct,5,Qwen2.5-32B-Instruct,3,3,8,1,8,64,16,50,4000,20408.84,49.65,148.95,512,3.4373950990265194,OK
Qwen2.5-32B-Instruct,6,Qwen2.5-32B-Instruct,3,3,8,2,4,64,16,50,4000,20530.74,71.84,215.52,512,2.3756495916852263,OK
Qwen2.5-32B-Instruct,7,Qwen2.5-32B-Instruct,3,3,8,4,2,64,16,50,4000,20776.93,134.65,403.95000000000005,512,1.267483599455378,OK
Qwen2.5-32B-Instruct,8,Qwen2.5-32B-Instruct,3,3,8,8,1,64,16,50,4000,21272.18,163.00,489.0,512,1.047034764826176,OK
Qwen2.5-32B-Instruct,9,Qwen2.5-32B-Instruct,3,3,8,1,8,128,16,50,4000,20551.50,102.46,307.38,1024,3.3313813520723534,OK
Qwen2.5-32B-Instruct,10,Qwen2.5-32B-Instruct,3,3,8,2,4,128,16,50,4000,22417.59,120.25,360.75,1024,2.8385308385308385,OK
Qwen2.5-32B-Instruct,11,Qwen2.5-32B-Instruct,3,3,8,4,2,128,16,50,4000,21292.19,210.79,632.37,1024,1.6193051536284138,OK
Qwen2.5-32B-Instruct,12,Qwen2.5-32B-Instruct,3,3,8,8,1,128,16,50,4000,22275.44,272.34,817.02,1024,1.2533352916697267,OK
Qwen2.5-32B-Instruct,13,Qwen2.5-32B-Instruct,3,3,8,1,8,256,16,50,4000,20837.44,200.20,600.5999999999999,2048,3.4099234099234104,OK
Qwen2.5-32B-Instruct,14,Qwen2.5-32B-Instruct,3,3,8,2,4,256,16,50,4000,21332.19,358.79,1076.3700000000001,2048,1.9026914536822839,OK
Qwen2.5-32B-Instruct,15,Qwen2.5-32B-Instruct,3,3,8,4,2,256,16,50,4000,22315.44,395.71,1187.1299999999999,2048,1.725169105321237,OK
Qwen2.5-32B-Instruct,16,Qwen2.5-32B-Instruct,3,3,8,8,1,256,16,50,4000,24287.96,289.64,868.92,2048,2.35694885605119,OK
Qwen2.5-32B-Instruct,17,Qwen2.5-32B-Instruct,3,3,8,1,8,512,16,50,4000,21412.19,407.90,1223.6999999999998,4096,3.3472256271962086,OK
Qwen2.5-32B-Instruct,18,Qwen2.5-32B-Instruct,3,3,8,2,4,512,16,50,4000,22395.45,531.40,1594.1999999999998,4096,2.569313762388659,OK
Qwen2.5-32B-Instruct,19,Qwen2.5-32B-Instruct,3,3,8,4,2,512,16,50,4000,24367.96,427.87,1283.6100000000001,4096,3.1910003817358854,OK
Qwen2.5-32B-Instruct,20,Qwen2.5-32B-Instruct,3,3,8,8,1,512,16,50,4000,28312.99,290.81,872.4300000000001,4096,4.694932544731382,OK
Qwen2.5-32B-Instruct,21,Qwen2.5-32B-Instruct,3,3,8,1,8,1024,16,50,4000,21532.26,544.15,1632.4499999999998,8192,5.018224141627615,OK
Qwen2.5-32B-Instruct,22,Qwen2.5-32B-Instruct,3,3,8,2,4,1024,16,50,4000,24527.96,557.20,1671.6000000000001,8192,4.900693945920076,OK
Qwen2.5-32B-Instruct,23,Qwen2.5-32B-Instruct,3,3,8,4,2,1024,16,50,4000,28472.99,418.58,1255.74,8192,6.5236434293723224,OK
Qwen2.5-32B-Instruct,24,Qwen2.5-32B-Instruct,3,3,8,8,1,1024,16,50,4000,OOM,OOM,OOM,8192,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,25,Qwen2.5-32B-Instruct,3,3,8,1,8,2048,16,50,4000,24847.96,606.94,1820.8200000000002,16384,8.99814369350073,OK
Qwen2.5-32B-Instruct,26,Qwen2.5-32B-Instruct,3,3,8,2,4,2048,16,50,4000,28792.99,540.56,1621.6799999999998,16384,10.103102954960288,OK
Qwen2.5-32B-Instruct,27,Qwen2.5-32B-Instruct,3,3,8,4,2,2048,16,50,4000,OOM,OOM,OOM,16384,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,28,Qwen2.5-32B-Instruct,3,3,8,8,1,2048,16,50,4000,OOM,OOM,OOM,16384,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,29,Qwen2.5-32B-Instruct,3,3,8,1,8,3072,16,50,4000,27140.48,621.51,1864.53,24576,13.180801596112694,OK
Qwen2.5-32B-Instruct,30,Qwen2.5-32B-Instruct,3,3,8,2,4,3072,16,50,4000,33058.02,555.07,1665.21,24576,14.758498928063126,OK
Qwen2.5-32B-Instruct,31,Qwen2.5-32B-Instruct,3,3,8,4,2,3072,16,50,4000,OOM,OOM,OOM,24576,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,32,Qwen2.5-32B-Instruct,3,3,8,8,1,3072,16,50,4000,OOM,OOM,OOM,24576,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,33,Qwen2.5-32B-Instruct,3,3,8,1,8,4096,16,50,4000,29433.00,608.53,1825.59,32768,17.94926571683675,OK
Qwen2.5-32B-Instruct,34,Qwen2.5-32B-Instruct,3,3,8,2,4,4096,16,50,4000,OOM,OOM,OOM,32768,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,35,Qwen2.5-32B-Instruct,3,3,8,4,2,4096,16,50,4000,OOM,OOM,OOM,32768,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,36,Qwen2.5-32B-Instruct,3,3,8,8,1,4096,16,50,4000,OOM,OOM,OOM,32768,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,1,Qwen2.5-32B-Instruct,4,4,8,1,8,32,16,50,4000,16581.19,22.89,91.56,256,2.795980777632154,OK
Qwen2.5-32B-Instruct,2,Qwen2.5-32B-Instruct,4,4,8,2,4,32,16,50,4000,16644.20,36.90,147.6,256,1.7344173441734418,OK
Qwen2.5-32B-Instruct,3,Qwen2.5-32B-Instruct,4,4,8,4,2,32,16,50,4000,16763.11,43.46,173.84,256,1.4726184997699032,OK
Qwen2.5-32B-Instruct,4,Qwen2.5-32B-Instruct,4,4,8,8,1,32,16,50,4000,17004.80,71.14,284.56,256,0.8996345234748383,OK
Qwen2.5-32B-Instruct,5,Qwen2.5-32B-Instruct,4,4,8,1,8,64,16,50,4000,16654.21,47.48,189.92,512,2.695871946082561,OK
Qwen2.5-32B-Instruct,6,Qwen2.5-32B-Instruct,4,4,8,2,4,64,16,50,4000,16773.11,73.82,295.28,512,1.7339474397182337,OK
Qwen2.5-32B-Instruct,7,Qwen2.5-32B-Instruct,4,4,8,4,2,64,16,50,4000,17014.80,108.55,434.2,512,1.17918010133579,OK
Qwen2.5-32B-Instruct,8,Qwen2.5-32B-Instruct,4,4,8,8,1,64,16,50,4000,17500.05,144.03,576.12,512,0.8887037422759148,OK
Qwen2.5-32B-Instruct,9,Qwen2.5-32B-Instruct,4,4,8,1,8,128,16,50,4000,16794.37,94.22,376.88,1024,2.717045213330503,OK
Qwen2.5-32B-Instruct,10,Qwen2.5-32B-Instruct,4,4,8,2,4,128,16,50,4000,17034.80,150.56,602.24,1024,1.7003188097768331,OK
Qwen2.5-32B-Instruct,11,Qwen2.5-32B-Instruct,4,4,8,4,2,128,16,50,4000,17520.05,218.06,872.24,1024,1.1739888104191507,OK
Qwen2.5-32B-Instruct,12,Qwen2.5-32B-Instruct,4,4,8,8,1,128,16,50,4000,18483.31,212.65,850.6,1024,1.2038561015753586,OK
Qwen2.5-32B-Instruct,13,Qwen2.5-32B-Instruct,4,4,8,1,8,256,16,50,4000,17074.80,183.99,735.96,2048,2.7827599326050327,OK
Qwen2.5-32B-Instruct,14,Qwen2.5-32B-Instruct,4,4,8,2,4,256,16,50,4000,17560.05,302.18,1208.72,2048,1.6943543583294725,OK
Qwen2.5-32B-Instruct,15,Qwen2.5-32B-Instruct,4,4,8,4,2,256,16,50,4000,15774.06,263.90,1055.6,2048,1.940128836680561,OK
Qwen2.5-32B-Instruct,16,Qwen2.5-32B-Instruct,4,4,8,8,1,256,16,50,4000,20455.83,220.12,880.48,2048,2.326003997819371,OK
Qwen2.5-32B-Instruct,17,Qwen2.5-32B-Instruct,4,4,8,1,8,512,16,50,4000,17641.06,382.08,1528.32,4096,2.680067001675042,OK
Qwen2.5-32B-Instruct,18,Qwen2.5-32B-Instruct,4,4,8,2,4,512,16,50,4000,18603.31,433.32,1733.28,4096,2.363149635373396,OK
Qwen2.5-32B-Instruct,19,Qwen2.5-32B-Instruct,4,4,8,4,2,512,16,50,4000,20535.83,339.04,1356.16,4096,3.020292590844738,OK
Qwen2.5-32B-Instruct,20,Qwen2.5-32B-Instruct,4,4,8,8,1,512,16,50,4000,24400.86,215.01,860.04,4096,4.762569182828706,OK
Qwen2.5-32B-Instruct,21,Qwen2.5-32B-Instruct,4,4,8,1,8,1024,16,50,4000,18763.32,548.54,2194.16,8192,3.7335472344769753,OK
Qwen2.5-32B-Instruct,22,Qwen2.5-32B-Instruct,4,4,8,2,4,1024,16,50,4000,20695.83,463.32,1853.28,8192,4.4202710869377535,OK
Qwen2.5-32B-Instruct,23,Qwen2.5-32B-Instruct,4,4,8,4,2,1024,16,50,4000,24560.86,342.75,1371.0,8192,5.975200583515682,OK
Qwen2.5-32B-Instruct,24,Qwen2.5-32B-Instruct,4,4,8,8,1,1024,16,50,4000,32290.92,219.64,878.56,8192,9.324348934620287,OK
Qwen2.5-32B-Instruct,25,Qwen2.5-32B-Instruct,4,4,8,1,8,2048,16,50,4000,21015.83,565.09,2260.36,16384,7.248402909271089,OK
Qwen2.5-32B-Instruct,26,Qwen2.5-32B-Instruct,4,4,8,2,4,2048,16,50,4000,24880.86,468.61,1874.44,16384,8.740743902178783,OK
Qwen2.5-32B-Instruct,27,Qwen2.5-32B-Instruct,4,4,8,4,2,2048,16,50,4000,32610.92,331.49,1325.96,16384,12.356330507707623,OK
Qwen2.5-32B-Instruct,28,Qwen2.5-32B-Instruct,4,4,8,8,1,2048,16,50,4000,OOM,OOM,OOM,16384,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,29,Qwen2.5-32B-Instruct,4,4,8,1,8,3072,16,50,4000,23268.35,553.59,2214.36,24576,11.098466374031322,OK
Qwen2.5-32B-Instruct,30,Qwen2.5-32B-Instruct,4,4,8,2,4,3072,16,50,4000,29065.89,458.97,1835.88,24576,13.386495849401921,OK
Qwen2.5-32B-Instruct,31,Qwen2.5-32B-Instruct,4,4,8,4,2,3072,16,50,4000,OOM,OOM,OOM,24576,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,32,Qwen2.5-32B-Instruct,4,4,8,8,1,3072,16,50,4000,OOM,OOM,OOM,24576,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,33,Qwen2.5-32B-Instruct,4,4,8,1,8,4096,16,50,4000,25520.86,563.81,2255.24,32768,14.529717458008905,OK
Qwen2.5-32B-Instruct,34,Qwen2.5-32B-Instruct,4,4,8,2,4,4096,16,50,4000,33250.92,461.38,1845.52,32768,17.755429364081667,OK
Qwen2.5-32B-Instruct,35,Qwen2.5-32B-Instruct,4,4,8,4,2,4096,16,50,4000,OOM,OOM,OOM,32768,OOM,OOM_OR_INVALID
Qwen2.5-32B-Instruct,36,Qwen2.5-32B-Instruct,4,4,8,8,1,4096,16,50,4000,OOM,OOM,OOM,32768,OOM,OOM_OR_INVALID
